TIME,COUNTS
1781380460.0,1.0
1781380461.0,4.0
1781380462.0,2.0
1781380463.0,3.0
1781380464.0,4.0
1781380465.0,5.0
1781380466.0,3.0
1781380467.0,5.0
1781380468.0,2.0
1781380469.0,7.0
1781380470.0,1.0
1781380471.0,5.0
1781380472.0,0.0
1781380473.0,3.0
1781380474.0,6.0
1781380475.0,5.0
1781380476.0,3.0
1781380477.0,7.0
1781380478.0,3.0
1781380479.0,4.0
1781380480.0,5.0
1781380481.0,3.0
1781380482.0,3.0
1781380483.0,6.0
1781380484.0,3.0
1781380485.0,6.0
1781380486.0,3.0
1781380487.0,3.0
1781380488.0,2.0
1781380489.0,2.0
1781380490.0,2.0
1781380491.0,4.0
1781380492.0,4.0
1781380493.0,4.0
1781380494.0,4.0
1781380495.0,5.0
1781380496.0,1.0
1781380497.0,3.0
1781380498.0,2.0
1781380499.0,1.0
1781380500.0,6.0
1781380501.0,5.0
1781380502.0,2.0
1781380503.0,2.0
1781380504.0,2.0
1781380505.0,2.0
1781380506.0,3.0
1781380507.0,5.0
1781380508.0,1.0
1781380509.0,8.0
1781380510.0,1.0
1781380511.0,3.0
1781380512.0,4.0
1781380513.0,2.0
1781380514.0,1.0
1781380515.0,3.0
1781380516.0,5.0
1781380517.0,6.0
1781380518.0,2.0
1781380519.0,3.0
1781380520.0,3.0
1781380521.0,3.0
1781380522.0,5.0
1781380523.0,4.0
1781380524.0,3.0
1781380525.0,3.0
1781380526.0,3.0
1781380527.0,3.0
1781380528.0,3.0
1781380529.0,2.0
1781380530.0,2.0
1781380531.0,0.0
1781380532.0,4.0
1781380533.0,5.0
1781380534.0,1.0
1781380535.0,2.0
1781380536.0,6.0
1781380537.0,7.0
1781380538.0,0.0
1781380539.0,1.0
1781380540.0,6.0
1781380541.0,3.0
1781380542.0,3.0
1781380543.0,1.0
1781380544.0,5.0
1781380545.0,7.0
1781380546.0,1.0
1781380547.0,3.0
1781380548.0,5.0
1781380549.0,1.0
1781380550.0,5.0
1781380551.0,2.0
1781380552.0,5.0
1781380553.0,2.0
1781380554.0,4.0
1781380555.0,4.0
1781380556.0,4.0
1781380557.0,5.0
1781380558.0,7.0
1781380559.0,2.0
1781380560.0,4.0
1781380561.0,1.0
1781380562.0,6.0
1781380563.0,2.0
1781380564.0,5.0
1781380565.0,4.0
1781380566.0,3.0
1781380567.0,4.0
1781380568.0,2.0
1781380569.0,4.0
1781380570.0,8.0
1781380571.0,2.0
1781380572.0,3.0
1781380573.0,2.0
1781380574.0,8.0
1781380575.0,3.0
1781380576.0,4.0
1781380577.0,2.0
1781380578.0,7.0
1781380579.0,1.0
1781380580.0,6.0
1781380581.0,4.0
1781380582.0,9.0
1781380583.0,4.0
1781380584.0,4.0
1781380585.0,7.0
1781380586.0,1.0
1781380587.0,6.0
1781380588.0,2.0
1781380589.0,6.0
1781380590.0,8.0
1781380591.0,6.0
1781380592.0,4.0
1781380593.0,3.0
1781380594.0,4.0
1781380595.0,0.0
1781380596.0,2.0
1781380597.0,5.0
1781380598.0,6.0
1781380599.0,5.0
1781380600.0,6.0
1781380601.0,4.0
1781380602.0,4.0
1781380603.0,1.0
1781380604.0,3.0
1781380605.0,4.0
1781380606.0,3.0
1781380607.0,4.0
1781380608.0,3.0
1781380609.0,3.0
1781380610.0,6.0
1781380611.0,5.0
1781380612.0,6.0
1781380613.0,4.0
1781380614.0,3.0
1781380615.0,0.0
1781380616.0,5.0
1781380617.0,5.0
1781380618.0,4.0
1781380619.0,4.0
1781380620.0,2.0
1781380621.0,7.0
1781380622.0,5.0
1781380623.0,5.0
1781380624.0,2.0
1781380625.0,5.0
1781380626.0,2.0
1781380627.0,3.0
1781380628.0,1.0
1781380629.0,4.0
1781380630.0,3.0
1781380631.0,4.0
1781380632.0,9.0
1781380633.0,5.0
1781380634.0,5.0
1781380635.0,4.0
1781380636.0,3.0
1781380637.0,3.0
1781380638.0,5.0
1781380639.0,5.0
1781380640.0,3.0
1781380641.0,6.0
1781380642.0,4.0
1781380643.0,8.0
1781380644.0,2.0
1781380645.0,5.0
1781380646.0,6.0
1781380647.0,2.0
1781380648.0,0.0
1781380649.0,4.0
1781380650.0,4.0
1781380651.0,4.0
1781380652.0,5.0
1781380653.0,7.0
1781380654.0,5.0
1781380655.0,4.0
1781380656.0,6.0
1781380657.0,2.0
1781380658.0,3.0
1781380659.0,7.0
1781380660.0,4.0
1781380661.0,3.0
1781380662.0,3.0
1781380663.0,4.0
1781380664.0,3.0
1781380665.0,4.0
1781380666.0,3.0
1781380667.0,4.0
1781380668.0,3.0
1781380669.0,2.0
1781380670.0,2.0
1781380671.0,6.0
1781380672.0,4.0
1781380673.0,6.0
1781380674.0,4.0
1781380675.0,2.0
1781380676.0,4.0
1781380677.0,2.0
1781380678.0,6.0
1781380679.0,7.0
1781380680.0,4.0
1781380681.0,4.0
1781380682.0,4.0
1781380683.0,4.0
1781380684.0,2.0
1781380685.0,7.0
1781380686.0,3.0
1781380687.0,8.0
1781380688.0,1.0
1781380689.0,3.0
1781380690.0,6.0
1781380691.0,5.0
1781380692.0,2.0
1781380693.0,5.0
1781380694.0,5.0
1781380695.0,4.0
