Time_Seconds,Total_Counts,Exposure,Counts_Per_Second
5180.0,11.0,20.0,0.55
5200.0,3.0,20.0,0.15
5220.0,6.0,20.0,0.3
5240.0,3.0,20.0,0.15
5260.0,14.0,20.0,0.7
5280.0,2.0,20.0,0.1
5300.0,3.0,20.0,0.15
5320.0,4.0,20.0,0.2
5340.0,5.0,20.0,0.25
5360.0,6.0,20.0,0.3
5380.0,0.0,20.0,0.0
5400.0,4.0,20.0,0.2
5420.0,1.0,20.0,0.05
5440.0,9.0,20.0,0.45
5460.0,6.0,20.0,0.3
5480.0,6.0,20.0,0.3
5500.0,4.0,20.0,0.2
5520.0,5.0,20.0,0.25
5540.0,3.0,20.0,0.15
5560.0,1.0,20.0,0.05
5580.0,6.0,20.0,0.3
5600.0,0.0,20.0,0.0
5620.0,2.0,20.0,0.1
5640.0,3.0,20.0,0.15
5660.0,6.0,20.0,0.3
5680.0,4.0,20.0,0.2
5700.0,3.0,20.0,0.15
5720.0,4.0,20.0,0.2
5740.0,1.0,20.0,0.05
5760.0,7.0,20.0,0.35
5780.0,3.0,20.0,0.15
5800.0,4.0,20.0,0.2
5820.0,1.0,20.0,0.05
5840.0,0.0,20.0,0.0
5860.0,6.0,20.0,0.3
5880.0,2.0,20.0,0.1
5900.0,2.0,20.0,0.1
5920.0,5.0,20.0,0.25
5940.0,7.0,20.0,0.35
5960.0,3.0,20.0,0.15
5980.0,4.0,20.0,0.2
6000.0,2.0,20.0,0.1
6020.0,3.0,20.0,0.15
6040.0,2.0,20.0,0.1
6060.0,3.0,20.0,0.15
6080.0,1.0,20.0,0.05
6100.0,6.0,20.0,0.3
6120.0,1.0,20.0,0.05
6140.0,3.0,20.0,0.15
6160.0,1.0,20.0,0.05
6180.0,5.0,20.0,0.25
6200.0,2.0,20.0,0.1
6220.0,2.0,20.0,0.1
6240.0,2.0,20.0,0.1
6260.0,3.0,20.0,0.15
6280.0,1.0,20.0,0.05
6300.0,2.0,20.0,0.1
6320.0,2.0,20.0,0.1
6340.0,0.0,20.0,0.0
6360.0,3.0,20.0,0.15
6380.0,5.0,20.0,0.25
6400.0,7.0,20.0,0.35
6420.0,4.0,20.0,0.2
6440.0,1.0,20.0,0.05
6460.0,7.0,20.0,0.35
6480.0,4.0,20.0,0.2
6500.0,7.0,20.0,0.35
6520.0,0.0,20.0,0.0
6540.0,0.0,20.0,0.0
6560.0,3.0,20.0,0.15
6580.0,6.0,20.0,0.3
6600.0,2.0,20.0,0.1
6620.0,2.0,20.0,0.1
6640.0,0.0,20.0,0.0
6660.0,2.0,20.0,0.1
6680.0,3.0,20.0,0.15
6700.0,6.0,20.0,0.3
6720.0,3.0,20.0,0.15
6740.0,5.0,20.0,0.25
6760.0,5.0,20.0,0.25
6780.0,7.0,20.0,0.35
6800.0,3.0,20.0,0.15
6820.0,6.0,20.0,0.3
6840.0,7.0,20.0,0.35
6860.0,6.0,20.0,0.3
6880.0,10.0,20.0,0.5
